CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
50190663,LOS 2 SABORES RESTAURANT LLC,Bronx,553,EAST  137 STREET,10454,9149875853,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.8062567,-73.91825864,201,8,2500,2000051,2022650050,BX39,POINT (-73.918258643396 40.806256697367)
50180187,MAKI,Brooklyn,19,BOGART STREET,11206,7185340968,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.70392508,-73.93292671,301,34,48500,3397431,3031180019,BK78,POINT (-73.932926711548 40.703925075043)
50192024,PIERO'S BAKERY,Queens,10月14日,CLINTONVILLE STREET,11357,7187101967,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.78911074,-73.81142836,407,19,98700,4596222,4046780104,QN49,POINT (-73.811428359577 40.78911074062)
50181770,VAN DA,Manhattan,234,EAST    4 STREET,10009,2063513779,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.72338735,-73.98281278,103,2,3200,1004992,1003990026,MN22,POINT (-73.982812776691 40.723387347671)
50158454,HANA FUSION CUISINE INC,Queens,136-21,ROOSEVELT AVENUE,11354,9177679890,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.75979164,-73.82924261,407,20,87100,4112492,4049800011,QN22,POINT (-73.829242612573 40.759791642744)
50143076,CHASE AD JFK,Queens,,TERMINAL 4,11430,9173996937,Continental,05/28/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A,05/28/2025,09/10/2026,Cycle Inspection / Initial Inspection,,,,,,,,,
50126220,HARLEM CAFE,Manhattan,2259,ADAM CLAYTON POWELL JR BOULEVARD,,3472329231,American,05/07/2026,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,28,,,09/10/2026,Cycle Inspection / Initial Inspection,0,0,,,,,1,,
50183823,EQUINOX,Manhattan,160,COLUMBUS AVENUE,10023,3479335654,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.77431886,-73.98105571,107,6,15300,1084564,1011397503,MN14,POINT (-73.981055709645 40.774318858455)
50160735,BEARD PAPA'S,0,29,JOHN ST,7627,2123896224,Bakery Products/Desserts,10/29/2024,Violations were cited in the following area(s).,8月20日,Failure to post or conspicuously post healthy eating information,Not Critical,,,,09/10/2026,Administrative Miscellaneous / Initial Inspection,,,,,,,,,
50154711,MIMI & JACKS,Brooklyn,1444,CONEY ISLAND AVENUE,11230,7188136656,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.62200762,-73.96466214,312,44,45400,3171510,3065360010,BK46,POINT (-73.964662136355 40.622007618805)
50069660,DUNKIN,Queens,208-15,LINDEN BOULEVARD,11411,7185280022,Donuts,08/15/2024,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,08/15/2024,09/10/2026,Cycle Inspection / Re-inspection,40.69632837,-73.74434828,413,27,53401,4238738,4110820014,QN33,POINT (-73.744348284577 40.696328373458)
50170984,ROMAINE EMPIRE INC FARMER'S FRIDGE,Queens,7,JFK INTL AIRPORT BLVD,11430,3122290099,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.64831283,-73.7882815,483,28,71600,4542156,4142600001,QN98,POINT (-73.788281497594 40.648312826068)
50192104,ATHENEE NYC,Manhattan,16,EAST   48 STREET,10017,9179154351,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.7568917,-73.97722012,105,4,9400,1035423,1012830061,MN17,POINT (-73.977220122628 40.756891697858)
50177211,JOEY BATS CAFE,Manhattan,151,WEST   34 STREET,10001,9176152361,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.75050916,-73.98947917,105,3,10900,1015219,1008100001,MN17,POINT (-73.989479170444 40.750509164767)
41619698,ANEJO,Manhattan,668,10 AVENUE,10036,2129204770,Mexican,05/16/2026,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,09/10/2026,Inter-Agency Task Force / Initial Inspection,40.76277303,-73.99317373,104,3,12700,1026514,1010560061,MN15,POINT (-73.99317373378 40.762773028647)
41570371,LAVAZZA ESPRESSO BAR,Queens,,JFK INTERNATIONAL AIRPORT,11430,7187511634,American,05/15/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,10,A,05/15/2019,09/10/2026,Cycle Inspection / Initial Inspection,,,,,,,,,
50147992,NY TRINI ROTI AND BAKERY LLC,Brooklyn,1065,RUTLAND ROAD,11212,3473653917,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.66377762,-73.92468771,317,41,88400,3099505,3045980044,BK96,POINT (-73.924687713652 40.663777616713)
50179930,K&A SANDWICH CITY CORP,Staten Island,1805,FOREST AVENUE,10303,9298882544,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.62514935,-74.14911777,501,49,23900,5107135,5011800001,SI12,POINT (-74.149117769714 40.625149347256)
50188359,SAXBYS,Bronx,6301,RIVERDALE AVENUE,10471,2158396026,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.91282233,-73.90250429,208,11,31900,2098638,2059580001,BX22,POINT (-73.902504292365 40.912822326386)
